evidence,group_id,group_key,gt_label,inference_error,latency_seconds,media_id,model_label,ollama_eval_count,ollama_load_duration_ns,ollama_prompt_eval_count,ollama_total_duration_ns,parse_error,raw_response,reason,relative_path,sample_role,source_id,split,status
Vehicle is fully contained within single yellow-lined parking space,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,26.176658,IMG_007542,0,50,444016674,476,26115810006,,"{""label"":""0"",""reason"":""The silver sedan is positioned within a clearly marked yellow-lined parking bay, with no visible intrusion into travel aisles or crossing of bay boundaries."",""evidence"":""Vehicle is fully contained within single yellow-lined parking space""}","The silver sedan is positioned within a clearly marked yellow-lined parking bay, with no visible intrusion into travel aisles or crossing of bay boundaries.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007542.png,positive,23,train,ok
Vehicle is fully contained within single yellow-marked parking space,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,24.835,IMG_007543,0,51,421755219,476,24777500029,,"{""label"":""0"",""reason"":""The silver sedan is positioned within a clearly marked yellow-lined parking bay, with no visible intrusion into travel aisles or crossing of bay boundaries."",""evidence"":""Vehicle is fully contained within single yellow-marked parking space""}","The silver sedan is positioned within a clearly marked yellow-lined parking bay, with no visible intrusion into travel aisles or crossing of bay boundaries.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007543.png,positive,24,train,ok
Visible white parking lines define bays; the blue SUV is fully contained within one bay; no vehicles are seen crossing bay boundaries or occupying travel lanes.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,26.790999,IMG_007544,0,77,502640364,476,26732530223,,"{""label"":""0"",""reason"":""The main vehicle is positioned within a clearly marked parking bay, and other visible vehicles are also parked within their respective bays without crossing boundaries or intruding into travel aisles."",""evidence"":""Visible white parking lines define bays; the blue SUV is fully contained within one bay; no vehicles are seen crossing bay boundaries or occupying travel lanes.""}","The main vehicle is positioned within a clearly marked parking bay, and other visible vehicles are also parked within their respective bays without crossing boundaries or intruding into travel aisles.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007544.png,positive,26,train,ok
Vehicle is fully contained within a single marked parking space with visible white lines defining the bay boundaries.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,28.149729,IMG_007545,0,68,446741741,476,28091011440,,"{""label"":""0"",""reason"":""The blue SUV is positioned within a clearly marked parking bay, aligned with the white boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle."",""evidence"":""Vehicle is fully contained within a single marked parking space with visible white lines defining the bay boundaries.""}","The blue SUV is positioned within a clearly marked parking bay, aligned with the white boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007545.png,positive,27,train,ok
Vehicle is centered in a single marked bay with clear yellow lines on both sides; no boundary crossing or aisle intrusion is visible.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,30.62894,IMG_007546,0,71,437316822,476,30560173101,,"{""label"":""0"",""reason"":""The black SUV is positioned squarely within a marked parking bay, aligned with the yellow boundary lines, showing no evidence of crossing bay boundaries or intruding into travel aisles."",""evidence"":""Vehicle is centered in a single marked bay with clear yellow lines on both sides; no boundary crossing or aisle intrusion is visible.""}","The black SUV is positioned squarely within a marked parking bay, aligned with the yellow boundary lines, showing no evidence of crossing bay boundaries or intruding into travel aisles.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007546.png,positive,28,train,ok
Vehicle is fully contained within the yellow-lined parking space; no boundary crossing or aisle intrusion is visible.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,32.000315,IMG_007547,0,63,409760856,476,31936663216,,"{""label"":""0"",""reason"":""The black SUV is positioned within a clearly marked parking bay, aligned with the yellow boundary lines and not intruding into the travel aisle or crossing bay boundaries."",""evidence"":""Vehicle is fully contained within the yellow-lined parking space; no boundary crossing or aisle intrusion is visible.""}","The black SUV is positioned within a clearly marked parking bay, aligned with the yellow boundary lines and not intruding into the travel aisle or crossing bay boundaries.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007547.png,positive,29,train,ok
Vehicle is fully contained within the yellow-lined parking space; no boundary crossing or aisle intrusion is visible.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,30.970628,IMG_007548,0,63,401696864,476,30912036204,,"{""label"":""0"",""reason"":""The black SUV is positioned within a clearly marked parking bay, aligned with the yellow boundary lines and not intruding into the travel aisle or crossing bay boundaries."",""evidence"":""Vehicle is fully contained within the yellow-lined parking space; no boundary crossing or aisle intrusion is visible.""}","The black SUV is positioned within a clearly marked parking bay, aligned with the yellow boundary lines and not intruding into the travel aisle or crossing bay boundaries.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007548.png,positive,30,train,ok
Vehicle is centered in a marked bay with visible white lines on both sides; no boundary crossing or aisle intrusion observed.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,30.957278,IMG_007549,0,69,348358172,476,30896170922,,"{""label"":""0"",""reason"":""The single visible vehicle is positioned within a clearly marked parking bay, aligned with the white painted lines, showing no evidence of crossing boundaries or intruding into travel aisles."",""evidence"":""Vehicle is centered in a marked bay with visible white lines on both sides; no boundary crossing or aisle intrusion observed.""}","The single visible vehicle is positioned within a clearly marked parking bay, aligned with the white painted lines, showing no evidence of crossing boundaries or intruding into travel aisles.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007549.png,positive,31,train,ok
Vehicle is aligned within white-painted parking bay markings; no boundary crossing or aisle intrusion observed.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,35.691791,IMG_007551,0,61,402850607,476,35633311576,,"{""label"":""0"",""reason"":""The gray minivan is positioned within the boundaries of a clearly marked parking bay, with no visible intrusion into travel aisles or crossing of bay lines."",""evidence"":""Vehicle is aligned within white-painted parking bay markings; no boundary crossing or aisle intrusion observed.""}","The gray minivan is positioned within the boundaries of a clearly marked parking bay, with no visible intrusion into travel aisles or crossing of bay lines.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007551.png,positive,33,train,ok
White van in center lane; no visible parking bay markings in immediate vicinity; background vehicles appear to be in a parking lot but are too distant to assess for violations.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,41.057147,IMG_007552,0,118,428913640,476,40998771928,,"{""label"":""0"",""reason"":""The white van is positioned in the center of a travel lane, but there are no visible parking bay markings in the immediate foreground or background to suggest it is parked outside a legal bay. The scene appears to be a normal traffic flow or temporary queue area rather than a parking lot with marked bays. Without clear bay boundaries to reference, we cannot confirm a violation."",""evidence"":""White van in center lane; no visible parking bay markings in immediate vicinity; background vehicles appear to be in a parking lot but are too distant to assess for violations.""}","The white van is positioned in the center of a travel lane, but there are no visible parking bay markings in the immediate foreground or background to suggest it is parked outside a legal bay. The scene appears to be a normal traffic flow or temporary queue area rather than a parking lot with marked bays. Without clear bay boundaries to reference, we cannot confirm a violation.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007552.png,positive,34,train,ok
White van is fully contained within a single marked parking bay; yellow bay lines are visible and un-crossed; no vehicles are seen obstructing travel aisles or spanning multiple bays.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,44.340816,IMG_007553,0,105,424157808,476,44278773275,,"{""label"":""0"",""reason"":""The white van is positioned within a clearly marked parking bay, aligned with the yellow lines, and does not appear to be crossing boundaries or intruding into travel lanes. Other visible vehicles in the background are also within their respective bays. No clear violation of parking order is evident."",""evidence"":""White van is fully contained within a single marked parking bay; yellow bay lines are visible and un-crossed; no vehicles are seen obstructing travel aisles or spanning multiple bays.""}","The white van is positioned within a clearly marked parking bay, aligned with the yellow lines, and does not appear to be crossing boundaries or intruding into travel lanes. Other visible vehicles in the background are also within their respective bays. No clear violation of parking order is evident.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007553.png,positive,35,train,ok
Visible yellow parking bay lines clearly contain both vehicles; no boundary crossing or non-parking area intrusion is observed.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,39.134677,IMG_007554,0,74,333356304,476,39072604889,,"{""label"":""0"",""reason"":""The white van is positioned within a clearly marked parking bay, and the white sedan behind it is also parked within its designated bay. No vehicles are crossing bay boundaries or intruding into travel aisles."",""evidence"":""Visible yellow parking bay lines clearly contain both vehicles; no boundary crossing or non-parking area intrusion is observed.""}","The white van is positioned within a clearly marked parking bay, and the white sedan behind it is also parked within its designated bay. No vehicles are crossing bay boundaries or intruding into travel aisles.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007554.png,positive,36,train,ok
Vehicle is aligned within white-painted parking lines; no boundary crossing or aisle intrusion observed.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,38.54763,IMG_007555,0,59,438410638,476,38487776786,,"{""label"":""0"",""reason"":""The primary vehicle is positioned within a clearly marked parking bay, and no other vehicles are visible intruding into travel aisles or crossing bay boundaries."",""evidence"":""Vehicle is aligned within white-painted parking lines; no boundary crossing or aisle intrusion observed.""}","The primary vehicle is positioned within a clearly marked parking bay, and no other vehicles are visible intruding into travel aisles or crossing bay boundaries.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007555.png,positive,37,train,ok
Vehicle is fully contained within a single marked parking bay with visible white lines on both sides.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,32.059807,IMG_007556,0,56,473010544,476,32001388875,,"{""label"":""0"",""reason"":""The single visible vehicle is parked within clearly marked white bay lines and does not cross any boundaries or intrude into travel aisles."",""evidence"":""Vehicle is fully contained within a single marked parking bay with visible white lines on both sides.""}",The single visible vehicle is parked within clearly marked white bay lines and does not cross any boundaries or intrude into travel aisles.,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007556.png,positive,38,train,ok
Visible yellow parking bay lines frame the vehicle on both sides; the car is centered within the marked space with no indication of boundary crossing or non-parking area intrusion.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,29.458724,IMG_007557,0,85,449407327,476,29377124603,,"{""label"":""0"",""reason"":""The red car is positioned within a clearly marked parking bay, bounded by yellow lines on the left and right, and does not appear to be crossing any bay boundaries or intruding into a travel aisle."",""evidence"":""Visible yellow parking bay lines frame the vehicle on both sides; the car is centered within the marked space with no indication of boundary crossing or non-parking area intrusion.""}","The red car is positioned within a clearly marked parking bay, bounded by yellow lines on the left and right, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007557.png,positive,39,train,ok
Visible yellow parking bay lines frame the vehicle; the car is contained within the marked area.,POV_PARKING_B1_P01_OUTSIDE_LEGAL_BAY_CLEAR,p01-outside-legal-bay-clear,1,,28.749856,IMG_007558,0,67,446940454,476,28691611329,,"{""label"":""0"",""reason"":""The red car is positioned within a clearly marked parking bay, aligned with the yellow boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle."",""evidence"":""Visible yellow parking bay lines frame the vehicle; the car is contained within the marked area.""}","The red car is positioned within a clearly marked parking bay, aligned with the yellow boundary lines, and does not appear to be crossing any bay boundaries or intruding into a travel aisle.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007558.png,positive,40,train,ok
White car is centered in a single marked bay; adjacent cars are similarly parked within bays; no boundary crossing or aisle intrusion is visible.,POV_PARKING_B1_P02_CROSS_SINGLE_BOUNDARY_LINE,p02-cross-single-boundary-line,1,,33.274005,IMG_007559,0,97,398354921,476,33210282461,,"{""label"":""0"",""reason"":""The central white vehicle is clearly positioned within a marked parking bay, aligned with the white boundary lines. The adjacent vehicles are also parked within their respective bays. There is no visible evidence of any vehicle crossing bay boundaries, spanning multiple bays, or intruding into a travel aisle."",""evidence"":""White car is centered in a single marked bay; adjacent cars are similarly parked within bays; no boundary crossing or aisle intrusion is visible.""}","The central white vehicle is clearly positioned within a marked parking bay, aligned with the white boundary lines. The adjacent vehicles are also parked within their respective bays. There is no visible evidence of any vehicle crossing bay boundaries, spanning multiple bays, or intruding into a travel aisle.",00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007559.png,positive,41,train,ok
