media_id,group_key,selected_rank,vehicle_mask_quality,parking_geometry_quality,p01_outside_evidence_quality,p03_separator_evidence_quality,catastrophic_wrong_mask,reviewer,review_basis,not_human_gold,notes
IMG_007533,p01-outside-legal-bay-clear,1,GOOD,PARTIAL,GOOD,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007608,p03-span-two-bays,1,GOOD,GOOD,,GOOD,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007620,p03-span-two-bays,1,GOOD,GOOD,,GOOD,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007621,p03-span-two-bays,1,GOOD,GOOD,,GOOD,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007599,p03-span-two-bays,1,GOOD,GOOD,,GOOD,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007599,p03-span-two-bays,2,GOOD,PARTIAL,,GOOD,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007615,p03-span-two-bays,1,GOOD,GOOD,,GOOD,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007610,p03-span-two-bays,1,GOOD,GOOD,,PARTIAL,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007610,p03-span-two-bays,2,GOOD,GOOD,,PARTIAL,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007598,p03-span-two-bays,1,GOOD,GOOD,,PARTIAL,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007569,p02-cross-single-boundary-line,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007634,p04-angled-footprint-outside,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007634,p04-angled-footprint-outside,2,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007559,p02-cross-single-boundary-line,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007574,p02-cross-single-boundary-line,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007650,p05-multi-vehicle-at-least-one-violation,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007650,p05-multi-vehicle-at-least-one-violation,2,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007570,p02-cross-single-boundary-line,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007625,p04-angled-footprint-outside,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007587,p02-cross-single-boundary-line,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007587,p02-cross-single-boundary-line,2,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007658,p05-multi-vehicle-at-least-one-violation,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007633,p04-angled-footprint-outside,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007450,n02-close-to-line-but-inside,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007446,n02-close-to-line-but-inside,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007453,n02-close-to-line-but-inside,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007405,n01-standard-inside-bay,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007445,n02-close-to-line-but-inside,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007445,n02-close-to-line-but-inside,2,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007435,n02-close-to-line-but-inside,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007425,n01-standard-inside-bay,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007428,n01-standard-inside-bay,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007404,n01-standard-inside-bay,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007404,n01-standard-inside-bay,2,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007413,n01-standard-inside-bay,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007413,n01-standard-inside-bay,2,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007361,hn03-perspective-looks-like-crossing,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007361,hn03-perspective-looks-like-crossing,2,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007392,hn06-shadows-cracks-curbs-mimic-lines,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007359,hn02-faded-lines-but-confirmably-inside,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007359,hn02-faded-lines-but-confirmably-inside,2,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007397,hn06-shadows-cracks-curbs-mimic-lines,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007397,hn06-shadows-cracks-curbs-mimic-lines,2,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007350,hn02-faded-lines-but-confirmably-inside,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007396,hn06-shadows-cracks-curbs-mimic-lines,2,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007376,hn04-large-vehicle-compliant,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007366,hn03-perspective-looks-like-crossing,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007354,hn02-faded-lines-but-confirmably-inside,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007387,hn05-adjacent-vehicle-occludes-lines,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007387,hn05-adjacent-vehicle-occludes-lines,2,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007654,p05-multi-vehicle-at-least-one-violation,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007654,p05-multi-vehicle-at-least-one-violation,2,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007637,p04-angled-footprint-outside,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007562,p02-cross-single-boundary-line,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007576,p02-cross-single-boundary-line,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007629,p04-angled-footprint-outside,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007626,p04-angled-footprint-outside,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007644,p04-angled-footprint-outside,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007583,p02-cross-single-boundary-line,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007593,p02-cross-single-boundary-line,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007664,p05-multi-vehicle-at-least-one-violation,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007664,p05-multi-vehicle-at-least-one-violation,2,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007322,hn01-gate-queue,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007343,hn01-gate-queue,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007321,hn01-gate-queue,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007326,hn01-gate-queue,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007337,hn01-gate-queue,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007329,hn01-gate-queue,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007329,hn01-gate-queue,2,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007335,hn01-gate-queue,1,GOOD,GOOD,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007327,hn01-gate-queue,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007348,hn01-gate-queue,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
IMG_007348,hn01-gate-queue,2,FAIL,PARTIAL,,,true,codex_visual_review,parkscope_p0_visual_feasibility,true,Frozen target 2 encloses the gate booth; mechanical matcher selected another vehicle at IoU 0.0.
IMG_007334,hn01-gate-queue,1,GOOD,PARTIAL,,,false,codex_visual_review,parkscope_p0_visual_feasibility,true,Target vehicle mask visually follows the vehicle body; mechanical binding is high-overlap.
