error_type,source_id,media_id,group_key,sample_role,v1_2_gt,evaluation_scope,model_label,evidence_type,reason,status,protocol_success,latency_seconds,relative_path,error
FN,36,IMG_007554,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,All vehicles are parked within designated spaces or driving lanes without clear violations of parking order.,ok,True,5.379788,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007554.png,
FN,37,IMG_007555,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the parking lines, and not obstructing any driving aisles or adjacent spaces.",ok,True,5.340125,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007555.png,
FN,38,IMG_007556,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The vehicle is parked within a single designated parking space, aligned with the white boundary lines, and does not intrude into adjacent spaces or the driving aisle.",ok,True,5.080782,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007556.png,
FN,39,IMG_007557,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The red vehicle is parked within a clearly marked parking space, aligned with the yellow lines, and not obstructing any driving aisles or adjacent spaces.",ok,True,4.60926,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007557.png,
FN,40,IMG_007558,p01-outside-legal-bay-clear,positive,positive,primary_binary,negative,normal,"The red vehicle is parked within a clearly marked parking space, aligned with the yellow lines, and does not intrude into adjacent spaces or the driving aisle.",ok,True,4.837173,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007558.png,
FN,131,IMG_007647,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,"All vehicles are parked within their designated spaces, aligned with yellow lines, and show no substantial intrusion into adjacent areas or driving aisles.",ok,True,4.958861,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007647.png,
FN,132,IMG_007648,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,All vehicles are parked within their designated spaces with minor alignment imperfections that do not constitute a violation.,ok,True,4.496395,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007648.png,
FN,133,IMG_007649,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,All vehicles are parked within designated spaces with minor alignment variations that do not constitute violations.,ok,True,4.274039,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007649.png,
FN,134,IMG_007650,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,"All vehicles are parked within their designated spaces, aligned with parking lines, and not occupying multiple spaces or intruding into adjacent areas.",ok,True,4.387653,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007650.png,
FN,135,IMG_007651,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,All vehicles are parked within their designated spaces with minor alignment variations that do not constitute violations.,ok,True,4.100347,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007651.png,
FN,136,IMG_007652,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,All vehicles are parked within their assigned spaces with minor alignment imperfections that do not constitute a violation.,ok,True,4.053777,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007652.png,
FN,137,IMG_007653,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,"All vehicles are parked within their designated spaces, aligned with yellow lines, and not obstructing aisles or other spaces.",ok,True,4.221204,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007653.png,
FN,138,IMG_007654,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,"All vehicles are parked within their designated spaces, aligned with yellow lines, and show no substantial intrusion into adjacent areas or driving aisles.",ok,True,4.337588,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007654.png,
FN,139,IMG_007655,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,"All vehicles are parked within their designated spaces, aligned with yellow lines, and show no substantial intrusion into adjacent areas or driving aisles.",ok,True,4.461089,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007655.png,
FN,140,IMG_007656,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,All vehicles are parked within their designated spaces with minor alignment imperfections that do not constitute a violation.,ok,True,4.484339,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007656.png,
FN,141,IMG_007657,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,All vehicles are parked within their designated spaces with minor alignment imperfections that do not constitute a violation.,ok,True,4.387641,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007657.png,
FN,142,IMG_007658,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,All vehicles are parked within their designated spaces with minor alignment imperfections that do not constitute a violation.,ok,True,4.223962,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007658.png,
FN,143,IMG_007659,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,All vehicles are parked within their designated spaces; no clear violations of parking order are visible.,ok,True,4.141785,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007659.png,
FN,144,IMG_007660,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,"All vehicles are parked within their designated spaces, aligned with yellow lines, and not intruding into adjacent spaces or aisles.",ok,True,4.328871,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007660.png,
FN,145,IMG_007661,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,"All vehicles are parked within clearly marked individual spaces; no vehicle is substantially outside a space, occupying multiple spaces, severely angled, or blocking a driving aisle.",ok,True,4.460229,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007661.png,
FN,146,IMG_007662,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,"All vehicles are parked within their designated spaces, aligned with parking lines, and not occupying multiple spaces or driving aisles.",ok,True,4.529398,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007662.png,
FN,147,IMG_007663,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,All vehicles are parked within their designated spaces with minor alignment variations that do not constitute violations.,ok,True,4.521139,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007663.png,
FN,148,IMG_007664,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,All vehicles are parked within designated spaces with minor alignment variations that do not constitute violations.,ok,True,4.330503,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007664.png,
FN,149,IMG_007665,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,all vehicles are parked within their assigned spaces and aligned with parking lines,ok,True,4.064367,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007665.png,
FN,150,IMG_007666,p05-multi-vehicle-at-least-one-violation,positive,positive,primary_binary,negative,normal,"All vehicles are parked within their designated spaces, aligned with parking lines, and not obstructing aisles or adjacent spaces.",ok,True,4.045221,00_raw/ai_generated/images/20260902_ai_generated_parking_order_violation_pov_b1_397/IMG_007666.png,
